id,focus,signal,slack,drag,confidence,score,lane
l001,search depth,35,33,6,25,244,ship
l002,boundary pressure,35,34,6,55,306,ship
l003,complexity,35,35,6,85,368,ship
l004,input width,35,36,18,25,226,ship
l005,search depth,35,37,18,55,288,ship
l006,boundary pressure,35,38,18,85,350,ship
l007,complexity,35,39,34,25,200,ship
l008,input width,35,40,34,55,262,ship
l009,search depth,35,41,34,85,324,ship
l010,boundary pressure,60,42,6,25,362,ship
l011,complexity,60,43,6,55,424,ship
l012,input width,60,44,6,85,486,ship
l013,search depth,60,45,18,25,344,ship
l014,boundary pressure,60,46,18,55,406,ship
l015,complexity,60,47,18,85,468,ship
l016,input width,60,48,34,25,318,ship
l017,search depth,60,32,34,55,346,ship
l018,boundary pressure,60,33,34,85,408,ship
l019,complexity,85,34,6,25,446,ship
l020,input width,85,35,6,55,508,ship
l021,search depth,85,36,6,85,570,ship
l022,boundary pressure,85,37,18,25,428,ship
l023,complexity,85,38,18,55,490,ship
l024,input width,85,39,18,85,552,ship
l025,search depth,85,40,34,25,402,ship
l026,boundary pressure,85,41,34,55,464,ship
l027,complexity,85,42,34,85,526,ship
